"","Mean","SD","Naive SE","Time-series SE"
"beta0",4.86087562055909,3.60667052780999,0.0232809581491087,1.2911516910488
"beta_age",-0.0654682425987716,0.00713745842592587,4.60720960297645e-05,0.000625445725052303
"beta_ems",-1.03555796658505,0.328969365879059,0.00212348812577002,0.0175157303417392
"beta_gender",-0.389188815699802,0.133092715754675,0.000859109786032287,0.00209501969624838
"beta_not",-0.0195413248711108,0.212350182150324,0.00137071453172053,0.00678705145185208
"beta_race[1]",0.369221985413988,0.282466116651231,0.0018233109427635,0.0124336679055218
"beta_race[2]",-0.0480435455257866,0.293964445726057,0.00189753233779019,0.0123927054843535
"beta_race[3]",0,0,0,0
"beta_thr",-0.573951431547602,0.171252127423485,0.00110542772918958,0.00473769410938147
"beta_thrC",-1.50588581929705,0.41987311378043,0.00271026929531976,0.00411204616935335
"beta_time[1]",1.45732099078991,3.58992452231482,0.0231728631484449,1.12942279212526
"beta_time[2]",1.64545239908285,3.58836131609032,0.0231627726956546,1.17636918668261
"beta_time[3]",1.73618545325141,3.59003860257123,0.0231735995333336,1.15616868565885
"beta_tpa",0.584403818363997,0.173830886345294,0.001122073546453,0.0048846268985461
"beta_tpaC",-1.42473496027559,0.401204114145333,0.00258976142085796,0.00460709797180169
"sigma_age",14.423246227901,0.334109920356886,0.00215667026224151,0.00473330726043859
"sigma_site_age",2.55750578206279,1.08964809050415,0.00703364817958212,0.0254591465564041
"sigma_site_not",1.4486508917614,0.309163737963181,0.00199564334730439,0.00505387321496445
"sigma_site_out",0.197651034708373,0.129492031834281,0.000835867471267883,0.00426265653595269
"sigma_site_tr",0.437493330969383,0.200017808753934,0.00129110940374814,0.00456010560950029
